"draw","site_index","cover","site"
98,4,53.1106824186037,"Mahe NW Patch"
99,4,53.1119850192553,"Mahe NW Patch"
100,4,53.113171245616,"Mahe NW Patch"
1,5,13.5825523128488,"Mahe W Carbonate"
2,5,15.0735573189198,"Mahe W Carbonate"
3,5,16.7336068440228,"Mahe W Carbonate"
4,5,18.5541591496652,"Mahe W Carbonate"
5,5,20.496975641218,"Mahe W Carbonate"
6,5,22.5381432871705,"Mahe W Carbonate"
7,5,24.6834314162487,"Mahe W Carbonate"
8,5,26.9637344989391,"Mahe W Carbonate"
9,5,29.3913573785796,"Mahe W Carbonate"
10,5,31.9018324769601,"Mahe W Carbonate"
11,5,34.5159696713018,"Mahe W Carbonate"
12,5,37.2047926619749,"Mahe W Carbonate"
13,5,39.9741265496187,"Mahe W Carbonate"
14,5,42.7026093573837,"Mahe W Carbonate"
15,5,45.4720588566888,"Mahe W Carbonate"
16,5,48.182442260401,"Mahe W Carbonate"
17,5,50.9148050742208,"Mahe W Carbonate"
18,5,53.4934321599786,"Mahe W Carbonate"
19,5,56.0920843482528,"Mahe W Carbonate"
20,5,58.5802366352522,"Mahe W Carbonate"
21,5,60.9405207942793,"Mahe W Carbonate"
22,5,63.2315740557483,"Mahe W Carbonate"
23,5,65.4570267298843,"Mahe W Carbonate"
24,5,67.5709835783087,"Mahe W Carbonate"
25,5,69.5610104339467,"Mahe W Carbonate"
26,5,71.403430577234,"Mahe W Carbonate"
27,5,73.1755520158966,"Mahe W Carbonate"
28,5,74.7936864307223,"Mahe W Carbonate"
29,5,76.3267667533915,"Mahe W Carbonate"
30,5,77.7670344927152,"Mahe W Carbonate"
31,5,79.1046931330324,"Mahe W Carbonate"
32,5,80.3179031680382,"Mahe W Carbonate"
33,5,81.4312716990327,"Mahe W Carbonate"
34,5,82.4508201171286,"Mahe W Carbonate"
35,5,83.3964710881472,"Mahe W Carbonate"
36,5,84.2700522051579,"Mahe W Carbonate"
37,5,85.0764561835015,"Mahe W Carbonate"
38,5,85.8228470653763,"Mahe W Carbonate"
39,5,86.5044361022515,"Mahe W Carbonate"
40,5,87.1115196123914,"Mahe W Carbonate"
41,5,87.6679008358685,"Mahe W Carbonate"
42,5,88.1792894997683,"Mahe W Carbonate"
43,5,88.6446008253499,"Mahe W Carbonate"
44,5,89.0676501186772,"Mahe W Carbonate"
45,5,89.4550613305154,"Mahe W Carbonate"
46,5,89.8065314595568,"Mahe W Carbonate"
47,5,90.1200930828026,"Mahe W Carbonate"
48,5,90.4105979237062,"Mahe W Carbonate"
49,5,90.6735849429603,"Mahe W Carbonate"
50,5,90.9115550465962,"Mahe W Carbonate"
51,5,91.1268016663747,"Mahe W Carbonate"
52,5,91.3199786071715,"Mahe W Carbonate"
53,5,91.4936362437387,"Mahe W Carbonate"
54,5,91.6507888098311,"Mahe W Carbonate"
55,5,91.7935501417637,"Mahe W Carbonate"
56,5,91.9233454177787,"Mahe W Carbonate"
57,5,92.039433610872,"Mahe W Carbonate"
58,5,92.1441572676254,"Mahe W Carbonate"
59,5,92.238155495119,"Mahe W Carbonate"
60,5,92.3232052669188,"Mahe W Carbonate"
61,5,92.4001475015816,"Mahe W Carbonate"
62,5,92.4697461052402,"Mahe W Carbonate"
63,5,92.5329074581198,"Mahe W Carbonate"
64,5,92.5900326025717,"Mahe W Carbonate"
65,5,92.6420213514153,"Mahe W Carbonate"
66,5,92.6889929585872,"Mahe W Carbonate"
67,5,92.7314107393892,"Mahe W Carbonate"
68,5,92.7697134981231,"Mahe W Carbonate"
69,5,92.8042982560289,"Mahe W Carbonate"
70,5,92.8355241366246,"Mahe W Carbonate"
71,5,92.8637159072638,"Mahe W Carbonate"
72,5,92.8891947184647,"Mahe W Carbonate"
73,5,92.9122810241811,"Mahe W Carbonate"
74,5,92.9331105455431,"Mahe W Carbonate"
75,5,92.9519032466831,"Mahe W Carbonate"
76,5,92.9688577728868,"Mahe W Carbonate"
77,5,92.9841534942752,"Mahe W Carbonate"
78,5,92.9979523577966,"Mahe W Carbonate"
79,5,93.0104005647126,"Mahe W Carbonate"
80,5,93.0216300893703,"Mahe W Carbonate"
81,5,93.0317047564926,"Mahe W Carbonate"
82,5,93.04074053085,"Mahe W Carbonate"
83,5,93.0489040748444,"Mahe W Carbonate"
84,5,93.0562789105885,"Mahe W Carbonate"
85,5,93.0629502725599,"Mahe W Carbonate"
86,5,93.0689904624888,"Mahe W Carbonate"
87,5,93.074442790587,"Mahe W Carbonate"
88,5,93.0793842621881,"Mahe W Carbonate"
89,5,93.0838690692143,"Mahe W Carbonate"
90,5,93.0878897023004,"Mahe W Carbonate"
91,5,93.0914998170649,"Mahe W Carbonate"
92,5,93.0947588070406,"Mahe W Carbonate"
93,5,93.097700808964,"Mahe W Carbonate"
94,5,93.1003616906823,"Mahe W Carbonate"
95,5,93.1027727598931,"Mahe W Carbonate"
96,5,93.10494792263,"Mahe W Carbonate"
97,5,93.10691025377,"Mahe W Carbonate"
98,5,93.1086805724453,"Mahe W Carbonate"
99,5,93.1102776623174,"Mahe W Carbonate"
100,5,93.1117184703892,"Mahe W Carbonate"
1,6,15.2946650836669,"Mahe W Granite"
2,6,17.067093473924,"Mahe W Granite"
3,6,18.9984901376486,"Mahe W Granite"
4,6,21.1540177746124,"Mahe W Granite"
5,6,23.4012273756546,"Mahe W Granite"
6,6,25.7635002916533,"Mahe W Granite"
7,6,28.1709274432946,"Mahe W Granite"
8,6,30.6857724490244,"Mahe W Granite"
9,6,33.2929031161495,"Mahe W Granite"
10,6,35.8525155356606,"Mahe W Granite"
11,6,38.3206401451488,"Mahe W Granite"
12,6,40.8351050178771,"Mahe W Granite"
13,6,43.2928273180189,"Mahe W Granite"
14,6,45.6340015127291,"Mahe W Granite"
15,6,47.847643067494,"Mahe W Granite"
16,6,49.9584610912371,"Mahe W Granite"
17,6,51.9427698891786,"Mahe W Granite"
18,6,53.7833153975697,"Mahe W Granite"
19,6,55.4827929654974,"Mahe W Granite"
20,6,57.0561727873797,"Mahe W Granite"
21,6,58.4961540590667,"Mahe W Granite"
22,6,59.837783761382,"Mahe W Granite"
23,6,61.0206343626967,"Mahe W Granite"
24,6,62.079676810118,"Mahe W Granite"
25,6,63.0411938144934,"Mahe W Granite"
26,6,63.9081656030566,"Mahe W Granite"
27,6,64.6789747497144,"Mahe W Granite"
28,6,65.3875086690237,"Mahe W Granite"
29,6,66.0141264462381,"Mahe W Granite"
30,6,66.5524827129413,"Mahe W Granite"
31,6,67.0347307006996,"Mahe W Granite"
32,6,67.4617321446376,"Mahe W Granite"
33,6,67.8427591915237,"Mahe W Granite"
34,6,68.178363807134,"Mahe W Granite"
35,6,68.473521778544,"Mahe W Granite"
36,6,68.7346477396709,"Mahe W Granite"
37,6,68.9661822780479,"Mahe W Granite"
38,6,69.1702526585409,"Mahe W Granite"
39,6,69.3495975478367,"Mahe W Granite"
40,6,69.5061636683974,"Mahe W Granite"
41,6,69.6442417247224,"Mahe W Granite"
42,6,69.7649249256482,"Mahe W Granite"
43,6,69.8710130170905,"Mahe W Granite"
44,6,69.964041582973,"Mahe W Granite"
45,6,70.0451080392459,"Mahe W Granite"
46,6,70.1167021829372,"Mahe W Granite"
47,6,70.1797078649582,"Mahe W Granite"
48,6,70.2357999274202,"Mahe W Granite"
49,6,70.2848070730197,"Mahe W Granite"
50,6,70.3274586154262,"Mahe W Granite"
51,6,70.3639411845705,"Mahe W Granite"
52,6,70.3959741968054,"Mahe W Granite"
53,6,70.4245071484713,"Mahe W Granite"
54,6,70.449492497532,"Mahe W Granite"
55,6,70.4713696566657,"Mahe W Granite"
56,6,70.4905240039542,"Mahe W Granite"
57,6,70.5072934355863,"Mahe W Granite"
58,6,70.5219559684973,"Mahe W Granite"
59,6,70.5346902526549,"Mahe W Granite"
60,6,70.5459243563122,"Mahe W Granite"
61,6,70.5558078346278,"Mahe W Granite"
62,6,70.5644478825887,"Mahe W Granite"
63,6,70.5719786169232,"Mahe W Granite"
64,6,70.5786052021467,"Mahe W Granite"
65,6,70.5844169437947,"Mahe W Granite"
66,6,70.5895009588268,"Mahe W Granite"
67,6,70.5939347455716,"Mahe W Granite"
68,6,70.5978122424999,"Mahe W Granite"
69,6,70.6012058862252,"Mahe W Granite"
70,6,70.6041665907006,"Mahe W Granite"
71,6,70.6067528855005,"Mahe W Granite"
72,6,70.6090181658706,"Mahe W Granite"
73,6,70.6110022638133,"Mahe W Granite"
74,6,70.6127400719398,"Mahe W Granite"
75,6,70.6142621552696,"Mahe W Granite"
76,6,70.6155952874173,"Mahe W Granite"
